pair_id,key_k,key_h,sampled_commutation_successes,num_payloads,sampled_commutation_rate,sampled_commutation_wilson95_low,sampled_commutation_wilson95_high,mean_log_rank_commutation_distance,p05_log_rank_commutation_distance,p50_log_rank_commutation_distance,p95_log_rank_commutation_distance
0,Write a neutral product description in one paragraph.,The quick brown fox,0,8,0.0,0.0,0.32440756488388023,0.15241733672455718,0.07725787662903418,0.14273704826831723,0.2547586237051232
1,Talk about animals in a forest.,xrite a neutral product description.,0,8,0.0,0.0,0.32440756488388023,0.1481159919346005,0.0866804817190432,0.1348755689460331,0.25875053200533094
2,xalk about animals in a forest.,Talk about animals in a,0,8,0.0,0.0,0.32440756488388023,0.16666596591662147,0.10301450725234526,0.15456788608682828,0.2676547785365873
3,Write about baking bread briefly.,The quick brown fox jumps,0,8,0.0,0.0,0.32440756488388023,0.18408188561755506,0.06480366191582879,0.19407441063242534,0.28859201420356495
4,Explain a baseball practice!,Describe ancient Roman roads?,0,8,0.0,0.0,0.32440756488388023,0.18068445039362635,0.09723697036281637,0.15725867101902263,0.32469421014672517
5,Write about baking bread briefly.,Write a neutral product description briefly.,0,8,0.0,0.0,0.32440756488388023,0.185117951063506,0.15833828083230647,0.18150198196359763,0.21666808823683223
6,Describe ancient Roman roads!,xhe quick brown fox jumps,0,8,0.0,0.0,0.32440756488388023,0.20593726352357947,0.1397413802380356,0.20609363886179036,0.2654441450413979
7,Explain a baseball practice.s,The quick brown fox jumpss,0,8,0.0,0.0,0.32440756488388023,0.18439427780937404,0.1456701755397579,0.1831913321038443,0.22847969067543356
8,Describe a quiet mountain village!,Talk about animals in a,0,8,0.0,0.0,0.32440756488388023,0.18721643844118444,0.11278688761528484,0.20217373315911935,0.2464382291383869
9,Write about baking bread.,Write a neutral product descriptions.,0,8,0.0,0.0,0.32440756488388023,0.12822699279982594,0.0594070144554347,0.11693330493732015,0.20956881483933165
10,Explain a baseball practice.s,Describe ancient Roman roads today.,0,8,0.0,0.0,0.32440756488388023,0.16223068606717927,0.0909094517595868,0.16101684925375967,0.24303580566957134
11,Write about baking bread.,Describe ancient Roman roads?,0,8,0.0,0.0,0.32440756488388023,0.19125743342565327,0.11998800717747457,0.18089474305367573,0.2842155782179624
12,xalk about animals in a forest.,Write a neutral product description?,0,8,0.0,0.0,0.32440756488388023,0.15290582237125427,0.06322338116630326,0.15181498091789464,0.25729438947144406
13,Describe a quiet mountain village!,xxplain a baseball practice.,0,8,0.0,0.0,0.32440756488388023,0.20639873899161298,0.17856292457957962,0.2060813484929504,0.23323160526163383
14,Write a neutral product description.,The quick brown fox jumps,0,8,0.0,0.0,0.32440756488388023,0.21203494756770017,0.15881604220376172,0.19981855334863308,0.29305060319389975
15,Describe a quiet mountain village.,Talk about animals in a forest.,0,8,0.0,0.0,0.32440756488388023,0.20184099170820508,0.11502569614478934,0.16618068970611638,0.390473470735856
16,xxplain a baseball practice.,The quick brown fox jumps!,0,8,0.0,0.0,0.32440756488388023,0.21694315917260304,0.1253867548990429,0.2090495863690739,0.3125382075220147
17,Write a neutral product,The quick brown fox jumps.,0,8,0.0,0.0,0.32440756488388023,0.22208051900709244,0.13887246953252022,0.245583254337703,0.27580371449307445
18,Describe a quiet mountain villages.,Talk about animals in a forest.,0,8,0.0,0.0,0.32440756488388023,0.20117193200805827,0.13207817866284344,0.17507683059333612,0.2828577357805129
19,Write about baking bread.s,Write about baking bread?,0,8,0.0,0.0,0.32440756488388023,0.16843724102327767,0.1139382583481215,0.15935681561528725,0.22648029189577973
20,Write a neutral product description briefly.,xhe quick brown fox jumps,0,8,0.0,0.0,0.32440756488388023,0.2283616443364913,0.1661289242598518,0.21414447284812643,0.3340535012682283
21,Describe a quiet mountain village.,Write a neutral product,0,8,0.0,0.0,0.32440756488388023,0.1601871194953346,0.09119032385812233,0.15583183115340873,0.2477426738626945
22,Write about baking bread.,Talk about animals in a forest.,0,8,0.0,0.0,0.32440756488388023,0.1819524046908998,0.131756933641097,0.1813294887966145,0.21586331235073672
23,Write about baking bread.,Describe a quiet mountain village today.,0,8,0.0,0.0,0.32440756488388023,0.17519470720973535,0.12975884332911095,0.1790245724574007,0.22369897294105953
24,Explain a baseball practice!,Describe ancient Roman,0,8,0.0,0.0,0.32440756488388023,0.21779470025993097,0.1353851077284483,0.20958951562576145,0.3201296954234898
25,Describe a quiet mountain village briefly.,Explain a baseball practice.s,0,8,0.0,0.0,0.32440756488388023,0.18414579790055063,0.10699764634620457,0.1751340060502457,0.2858070462965474
26,Talk about animals in a,Explain a baseball practice today.,0,8,0.0,0.0,0.32440756488388023,0.1747575786300141,0.12348994882536195,0.18121295232687917,0.2111617646307161
