true_key_index,true_key,num_transcripts,candidate_set_size,true_key_still_present
0,Write about baking bread.,1,1,True
0,Write about baking bread.,2,1,True
0,Write about baking bread.,3,1,True
0,Write about baking bread.,4,1,True
0,Write about baking bread.,5,1,True
0,Write about baking bread.,6,1,True
0,Write about baking bread.,7,1,True
0,Write about baking bread.,8,1,True
0,Write about baking bread.,9,1,True
0,Write about baking bread.,10,1,True
0,Write about baking bread.,11,1,True
0,Write about baking bread.,12,1,True
0,Write about baking bread.,13,1,True
0,Write about baking bread.,14,1,True
0,Write about baking bread.,15,1,True
0,Write about baking bread.,16,1,True
1,xrite about baking bread.,1,1,True
1,xrite about baking bread.,2,1,True
1,xrite about baking bread.,3,1,True
1,xrite about baking bread.,4,1,True
1,xrite about baking bread.,5,1,True
1,xrite about baking bread.,6,1,True
1,xrite about baking bread.,7,1,True
1,xrite about baking bread.,8,1,True
1,xrite about baking bread.,9,1,True
1,xrite about baking bread.,10,1,True
1,xrite about baking bread.,11,1,True
1,xrite about baking bread.,12,1,True
1,xrite about baking bread.,13,1,True
1,xrite about baking bread.,14,1,True
1,xrite about baking bread.,15,1,True
1,xrite about baking bread.,16,1,True
2,Write about baking,1,1,True
2,Write about baking,2,1,True
2,Write about baking,3,1,True
2,Write about baking,4,1,True
2,Write about baking,5,1,True
2,Write about baking,6,1,True
2,Write about baking,7,1,True
2,Write about baking,8,1,True
2,Write about baking,9,1,True
2,Write about baking,10,1,True
2,Write about baking,11,1,True
2,Write about baking,12,1,True
2,Write about baking,13,1,True
2,Write about baking,14,1,True
2,Write about baking,15,1,True
2,Write about baking,16,1,True
