case_id,payload_id,key_id,payload_text,key_text,perturbation_type,perturbation_position,token_length,decoded_token_edit_distance,normalized_decoded_token_edit_distance,first_mismatch_position,suffix_corruption_fraction,corrupted,original_stegotext,perturbed_stegotext,decoded_original,decoded_perturbed,corruption_rate,corruption_wilson95_low,corruption_wilson95_high
0,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,random_token_substitution,3,7,4,0.5714285714285714,3,1.0,True, browse this timeline from the chimpanpan, browse this timeline Custom the chimpanpan, Several people waited near the market., Several people waited appearing wearing myriad attire,1.0,0.9541818704644728,0.9999999999999999
0,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,nearby_rank_substitution,4,7,3,0.42857142857142855,4,1.0,True, browse this timeline from the chimpanpan, browse this timeline from  chimpanpan, Several people waited near the market., Several people waited near a corresponding exit,1.0,0.9541818704644728,0.9999999999999999
0,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,adjacent_token_transposition,5,7,2,0.2857142857142857,5,1.0,True, browse this timeline from the chimpanpan, browse this timeline from thepan chimpan, Several people waited near the market., Several people waited near the Greatest Cute,1.0,0.9541818704644728,0.9999999999999999
0,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,punctuation_token_substitution,3,7,4,0.5714285714285714,3,1.0,True, browse this timeline from the chimpanpan, browse this timeline : the chimpanpan, Several people waited near the market., Several people waited breathingly wanting more,1.0,0.9541818704644728,0.9999999999999999
1,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,random_token_substitution,6,8,2,0.25,6,1.0,True,.strokeStyle(retrolics);\nThere isn,.strokeStyle(retrolics);\napture isn, A quiet bird watched from the roof., A quiet bird watched from theitos mi,1.0,0.9541818704644728,0.9999999999999999
1,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,nearby_rank_substitution,7,8,1,0.125,7,1.0,True,.strokeStyle(retrolics);\nThere isn,.strokeStyle(retrolics);\nThere’s, A quiet bird watched from the roof., A quiet bird watched from the roof as,1.0,0.9541818704644728,0.9999999999999999
1,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,adjacent_token_transposition,6,8,2,0.25,6,1.0,True,.strokeStyle(retrolics);\nThere isn,.strokeStyle(retrolics);\n isnThere, A quiet bird watched from the roof., A quiet bird watched from the dropout&#,1.0,0.9541818704644728,0.9999999999999999
1,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,punctuation_token_substitution,6,8,2,0.25,6,1.0,True,.strokeStyle(retrolics);\nThere isn,".strokeStyle(retrolics);\n , isn", A quiet bird watched from the roof., A quiet bird watched from the visitors/end,1.0,0.9541818704644728,0.9999999999999999
2,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,random_token_substitution,6,7,1,0.14285714285714285,6,1.0,True,ाशεikh\n``Hexadecimal,ाशεikh\n``Hex_mount, The device stopped working after midnight., The device stopped working after midnight правил,1.0,0.9541818704644728,0.9999999999999999
2,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,nearby_rank_substitution,2,7,5,0.7142857142857143,2,1.0,True,ाशεikh\n``Hexadecimal,ाशεΑ\n``Hexadecimal, The device stopped working after midnight., The device -- a small pink box,1.0,0.9541818704644728,0.9999999999999999
